Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRG7PH28UD1,1200,15,TO-247AC,1.09,1.35,1,,150,600,,,,,72.0986,47.9235,1.1062,,0.51553,0.44415,0.5551,,955.7824,0.8374426,0.503601,0.148726,0.419591,,,,,28.9013,20.3842,1.241322,,0.729874,0.299445,0.564936,,828.094278,0.786912,0.74527,0.10263,0.442766,1,
IRG7PH30K10D,1200,10,TO-247AC,0.7,1.44,1,,150,600,,103.4793,0.93531,,,69.64064,1.069,,0.55807,0.5044,0.63013,,279.4452709,0.37108767,0.498122,0.45923,0.571399,,54.4588,1.018047,,,75.1854,0.758941,,0.762053,0.348948,0.654254,,140.558403,0.381103,0.712096,0.433092,0.501407,1,
IRG7PH35UD1,1200,20,TO-247AC,0.7,1.35,1,,150,600,,,,,,81.8962,0.88783,,0.47806,0.36374,0.50193,,92.9599,0.7292221,0.447987,0.203947,0.364808,,,,,,50.3382,0.817808,,0.731839,0.211219,0.567307,,41.942306,0.696778,0.550745,0.282876,0.260459,1,
IRG7PH35UD,1200,20,TO-247AC,0.7,0.83,1,,150,600,,209.8867,0.7138,,,85.73849,0.85604,,0.46694,0.37813,0.52866,,95.09958676,0.71501466,0.538892,0.339796,0.568538,,114.8975,0.730212,,,49.0689,0.872988,,0.678063,0.204248,0.539984,,40.411026,0.739027,0.747024,0.341767,0.588783,1,
IRG7PH37K10D,1200,15,TO-247AC,0.58,1.71,1,,150,600,174.3334,39.9679,1.264079,,155.6025,64.8742,0.96626,,0.54455,0.36317,0.59313,,87.0196,0.583403,0.842338,0.54663,0.605729,97.8295,27.1262,1.369158,,52.1767,34.1637,1.045601,,0.726252,0.222405,0.614984,,42.9275,0.450529,1.041596,0.576627,0.522872,1,
IRG7PH42UD,1200,30,TO-247AC,0.39,0.56,1,,150,600,,199.4557,0.73389,,,153.49372,0.73153,,0.46917,0.24566,0.5534,,47.330105,1.021197711,0.511901,0.228329,0.598923,,92.8571,0.843803,,,76.771,0.774725,,0.670338,0.161087,0.55327,,17.547326,1.017098,0.735871,0.220253,0.515167,1,
IRG7PH44K10D,1200,40,TO-247AC,0.39,1.3,1,,150,600,297.9863,27.8551,1.42343,,360.2069,54.3225,1.0697,,0.53794,0.26819,0.5937,,86.93357,0.59034966,0.977866,0.519478,0.598248,193.0854,18.5771,1.40266,,195.7106,21.0844,1.236957,,0.712558,0.192057,0.590651,,30.499735,0.519013,0.974852,0.421372,0.542493,1,
IRG7PH46UD,1200,40,TO-247AC,0.32,0.83,1,,150,600,,160.4811,0.81533,,,146.11594,0.84083,,0.4949,0.21177,0.56578,,98.49821697,0.708034358,0.523115,0.347732,0.607808,,72.3782,0.97528,,,54.9541,0.976921,,0.678266,0.132816,0.569469,,42.500541,0.69298,0.73147,0.347494,0.594107,1,
IRG7PH50K10D,1200,35,TO-247AC,0.31,1.36,1,,150,600,300.9585,30.747,1.29346,,303.9861,95.981,0.93153,,0.51994,0.21427,0.62869,,45.9268,0.716316,0.925219,0.435767,0.578504,191.8864,18.2635,1.317299,,165.488,46.6265,0.997622,,0.693695,0.13015,0.621147,,25.996459,0.620612,1.190439,0.430681,0.567878,1,
IRG7PSH50UD,1200,50,TO-274AA,0.27,0.37,1,,150,600,,264.1032,0.82859,,,133.155,0.82441,,0.4759,0.15005,0.58467,,188.7502,0.5166835,0.574985,0.168126,0.632911,,99.5556,0.917695,,,63.4308,0.873941,,0.673951,0.110746,0.57703,,126.09598,0.502963,0.81871,0.209807,0.617964,1,
IRG7PSH54K10D,1200,50,TO-274AA,0.24,0.7,1,,150,600,607.245,32.8102,1.32352,,485.576,95.116,0.92371,,0.53967,0.15979,0.63016,,84.7719,0.7092641,0.740034,0.23915,0.595814,290.4761,21.6219,1.331749,,294.0394,43.7385,1.008836,,0.68772,0.101901,0.615049,,12.158805,0.883477,1.005985,0.32135,0.560166,1,
IRG7RC10FD,600,5,TO-252AA,2,6.4,45,,150,400,,73.5564,0.80534,,,59.9387,1.04994,,0.54697,0.41632,0.56854,,12.68041191,0.753364751,0.518995,0.331772,0.599088,,42.4056,0.879454,,,18.5698,1.26861,,0.778514,0.422182,0.436181,,4.224138,0.734415,0.686835,0.375848,0.504649,1,
IRG7S335UD,330,40,TO-263AB,0.48,1.7,35,,150,240,61.8297,7.0513,1.12358,,48.4924,5.3681,1.49034,,0.5462,0.07675,0.5543,,31.7417,0.700858,0.438911,0.235115,0.466064,48.2883,4.315,1.2094,,31.234,1.4529,1.692051,,0.758547,0.073144,0.468187,,19.405976,0.705982,0.767858,0.116526,0.534244,1,
IRG7RC07SD,600,3,TO-252AA,3.2,6.1,45,,150,400,,69.432,0.54162,,,312.52917,1.09958,,0.50661,0.42438,0.43909,,12.8986104,0.722166387,0.485391,0.33187,0.574363,,42.6253,0.610943,,,155.0172,1.250604,,0.706274,0.269368,0.42035,,4.302559,0.709628,0.710205,0.383313,0.512361,1,
IRG7PC35SD,600,40,TO-247AC,0.58,1.7,1,,150,400,,83.5456,0.76679,,,323.31316,0.98159,,0.50492,0.10882,0.46453,,70.64872168,0.43476968,,,,,29.0236,0.923792,,,122.1986,1.097409,,0.705102,0.092699,0.415964,,31.707982,0.36322,,,,1,
IRGB4062D  ,600,24,TO-220AB,0.6,1.53,2,,175,400,0,1.0364,0.42704,1.411082,25.1617,12.3879,0.80519,0.38765,0.41469,0.21922,0.62935,,135.4943,0.494063,0.378402,0.166622,0.512139,,,,,,,,,,,,,,,,,,1,
IRGR4059D,600,4,TO-252AA,2.7,6.3,45,,175,400,,50.3909,0.765716,,,30.3951,0.72866,,0.62419,0.55267,0.78247,,,,0.498964,0.339857,0.520174,,25.8533,0.880048,,,17.1282,0.684563,,0.59504,0.512133,0.565659,,,,0.721969,0.535184,0.326731,1,
IRGR4045D,600,6,TO-252AA,1.9,6.8,45,,175,400,19.6944,30.675,1.035013,,11.72,18.8752,1.01434,,0.61969,0.37339,0.81697,,59.5315,0.611524,0.515215,0.348743,0.524118,10.2637,15.784,1.218299,,7.84,10.0418,1.060814,,0.578716,0.379125,0.546207,,30.1807,0.583132,0.695841,0.508958,0.329195,1,
IRG7PH20K10D,1200,4.5,TO-247AC,1.1,2.8,1,,150,600,,102.5183,0.918549,,,68.2111,1.00626,,0.56085,0.82213,0.61633,,0,0,0.497575,0.805848,0.555604,,76.7695,1.007046,,,58.5633,0.761308,,0.728881,0.520264,0.623776,,0,0,0.741132,0.680749,0.487858,1,
IRG4PH40S,1200,20,TO-247AC,1.04,,1,,150,960,0,25.5965,1.35801,,0,654.6076,1.13578,,0.65133,0.12608,0.70641,0.49202,0.4985,0.51875,0.481478,0.516226,0.511444,0,23.376,1.280575,,0,268.4065,1.313002,,0.782027,0.12695,0.589992,0.506428,0.4806,0.506264,0.481424,0.505755,0.493059,1,
STGP20NC60V ,600,30,TO-220AB,0.62,0,2,,125,15,0,5.5378,1.463233,,45.3603,15.1278,1.30437,,0,0.18077,0.72125,0,0,0,0,0,0,0,2.6181,1.437723,,16.2838,7.1224,1.243508,,0,0.37459,0.51361,0,0,0,0,0,0,1,
STGW20NC60V ,600,30,TO-247AC,0.62,0,1,,125,15,0,5.2271,1.538306,,46.4037,15.8119,1.26231,,0,0.1847,0.7384,0,0,0,0,0,0,0,2.5311,1.442152,,15.7307,7.2498,1.241263,,0,0.395773,0.532073,0,0,0,0,0,0,1,
SGS23N60UFD ,600,12,TO-220 FullPak,1.7,1.2,0.5,,125,300,79.2516,3.6709,1.40269,,91.173,7.9992,1.33165,,0.59758,0.31668,0.62139,0,0,0,0.759049,0.05815,0.883019,31.376,1.6055,1.627771,,23.3038,1.8978,1.641892,,0,1.13969,0.233907,0,0,0,0.479146,0.394693,0.341922,1,
FGH20N60UFD,600,20,TO-247AD,0.76,2.51,1,,125,400,75.5002,1.1682,1.90951,,43.3097,10.1842,1.14239,,0.24834,0.41996,0.48426,0,0,0,0.682299,0.213696,0.663419,28.6171,2.9589,1.623761,,32.8793,4.9186,1.250514,,0.483423,0.307889,0.483616,0,0,0,0.972793,0.209457,0.663092,1,
FGH40N60SFD,600,40,TO-247AD,0.43,1.45,1,,125,400,172.167,0.4776,2.13023,,315.4261,0.0484,2.23616,,0.31965,0.30111,0.54797,0,0,0,0.544529,0.222799,0.602764,185.8539,0.4621,2.007406,,102.9973,0.0621,2.10897,,0.466873,0.255011,0.545701,0,0,0,0.758678,0.227162,0.541552,1,
FGH40N60SMD,600,40,TO-247AD,0.43,1.5,1,,175,400,111.8377,1.0571,1.85478,,242.8528,0.0146,2.82833,,0.32038,0.23424,0.54752,0,0,0,0.299795,0.31253,0.471074,78.2232,1.4086,1.686102,,141.107,0,4.103125,,0.602121,0.174206,0.557761,0,0,0,0.498356,0.562496,0.382362,1,
FGH40N60UFD,600,40,TO-247AD,0.43,1.45,1,,125,400,50.7138,2.6528,1.63237,,121.598,18.3921,0.93689,,0.2007,0.32315,0.45928,0,0,0,0.409394,0.308239,0.492198,198.8213,0.581,2.026372,,153.6269,0.5358,1.717871,,0.505563,0.210397,0.486203,0,0,0,0.566034,0.357236,0.453338,1,
FGH60N60SFD,600,60,TO-247AC,0.33,1.1,1,,150,400,0.279,17.7023,0.000096,1.162942688,14.3652,33.2779,0.74972,0,0.35869,0.22752,0.54358,,11.2134,0.514505,0.422364,0.230124,0.484648,66.5718,6.3216,1.327614,0.100111163,21.0225,0.1547,1.621483,0.272289829,0.564682,0.214521,0.53727,,11.386,0.639553,0.508414,0.341639,0.375618,1,
FGH60N60UFD,600,60,TO-247AC,0.33,1.1,1,,150,400,21.5527,22.1226,0.000102,0.8304387,33.8156,24.6344,0.27357,0.589658018,0.36491,0.19678,0.55048,,12.6401,0.599166,0.372597,0.218392,0.500092,14.3524,15.2334,0.000102,0.98150861,22.7459,0.0102,1.701588,0.721721233,0.634279,0.138449,0.575126,,11.7885,0.614524,0.677235,0.232279,0.486124,1,
FGB5N60UNDF,600,5,TO-263AB,1.7,4.5,35,,125,400,66.1726,5.3355,1.656365,,0,27.3398,0.73937,,0.44821,0.6296,0.623,0,0,0,0.647912,0.346452,0.632839,20.3552,5.5782,1.537139,,0,20.24,0.780697,,0.437398,0.589575,0.56826,0,0,0,0.967173,0.226579,0.723512,1,
FGPF10N60UNDF,600,10,TO-220 FullPak,3,5.6,0.5,,125,400,48.8268,2.5276,1.892231,,46.3459,0.9199,1.5943,,0.37156,0.53415,0.55613,0,0,0,0.640578,0.236908,0.617294,34.7286,2.0259,1.713644,,43.1623,0.037,2.413773,,0.397545,0.444601,0.562528,0,0,0,0.917295,0.213265,0.663506,1,
FGP10N60UNDF,600,10,TO-220AB,0.9,3.5,2,,125,400,47.7611,2.4363,1.777397,,48.7891,0.9263,1.52668,,0.38878,0.53332,0.54049,0,0,0,0.66543,0.249397,0.657918,34.0995,1.9967,1.781421,,42.688,0.0378,2.391327,,0.399058,0.431645,0.54413,0,0,0,0.917536,0.214548,0.651289,1,
FGP15N60UNDF,600,15,TO-220AB,0.7,2.3,2,,125,400,0,6.4239,1.632939,,61.8449,0.5708,1.60085,,0.20793,0.62784,0.4991,0,0,0,0.543701,0.218364,0.533065,45.0947,2.7261,1.76303,,44.5118,0.0494,2.346502,,0.575307,0.346081,0.557711,0,0,0,0.801557,0.138335,0.610349,1,
FGB20N60SFD,600,20,TO-263AB,0.6,2.6,35,,125,400,50.4178,2.5228,1.668447,,35.2947,6.2832,1.21139,,0.26126,0.42732,0.55543,0,0,0,0.504775,0.295315,0.580334,52.1506,1.4821,1.761916,,31.2577,1.3139,1.475967,,0.431778,0.399123,0.522873,0,0,0,0.735928,0.313951,0.564642,1,
FGAF40N60UFD,600,20,TO-3P,1.2,2.6,1,,125,300,49.0129,5.853,1.44135,,47.0786,4.5546,1.31103,,0.89725,0.21593,0.66962,0,0,0,0.353008,0.289429,0.447604,79.1072,3.2916,1.600389,,21.062,0.5741,1.691197,,1.05,1.141965,0.257576,0,0,0,0.357911,0.442913,0.308467,1,
SGP23N60UFD  ,600,12,TO-220AB,1.2,2.5,2,,125,300,76.4797,1.4174,1.811362,,57.7544,10.1535,1.31518,,0.65559,0.24176,0.70636,0,0,0,0,0,0,29.3842,0.7289,1.836144,,15.3132,1.7538,1.752104,,0.712543,0.384864,0.509279,0,0,0,0,0,0,1,
1MB20D-060 ,600,20,TO-247AC,0.86,1.66,1,,125,300,0,14.5426,1.07234,,0,52.4697,0.90464,,0.33401,0.49621,0.46732,0,0,0,0.097048,0.562339,0.334773,12.575,2.5028,1.445038,,2.1078,7.1292,1.131441,,1.05,0.924283,0.280928,0,0,0,0,0.940108,0.263407,1,
SGP15N60 ,600,15,TO-220AB,0.9,0,2,,150,400,80.4581,16.7022,1.16193,,75.7373,17.2297,1.10926,,0.25378,0.51302,0.48232,0,0,0,0,0,0,54.4789,10.8159,1.110923,,49.395,11.277,1.119923,,0.450156,0.46658,0.460261,0,0,0,0,0,0,1,
SGW15N60 ,600,15,TO-247AC,0.9,0,1,,150,400,78.1281,15.4791,1.12319,,75.4974,16.3468,1.07325,,0.24518,0.54607,0.49759,0,0,0,0,0,0,54.3765,10.6515,1.18546,,51.0623,11.3753,1.12513,,0.446894,0.462926,0.463669,0,0,0,0,0,0,1,
SGB15N60 ,600,15,TO-263AB,0.9,0,35,,150,400,78.1149,16.5408,1.12645,,76.4324,16.6841,1.0871,,0.24777,0.54394,0.48679,0,0,0,0,0,0,52.0106,10.7821,1.193584,,49.4285,11.1636,1.15189,,0.437079,0.455215,0.466605,0,0,0,0,0,0,1,
IGW30N60H3 ,600,30,TO-247AC,0.8,0,1,,175,400,82.1429,8.6177,1.44193,,5.8903,15.7676,1.07529,,0.47014,0.26433,0.58966,0,0,0,0,0,0,70.2802,7.2678,1.402771,,4.4362,10.9587,1.042469,,0.668714,0.187978,0.557158,0,0,0,0,0,0,1,
IKW30N60H3  ,600,30,TO-247AC,0.8,1.05,1,,175,400,0,6.661,0.009364,1.50352535,28.334,9.0708,1.2217,0,0.58743,0.14021,0.77974,,0,0,0.212574,0.344397,0.51253,48.0093,4.5149,1.571115,0,21.1936,6.4185,1.272446,0,0.655504,0.137946,0.629637,,0,0,0.439479,0.347981,0.45584,1,
IKW50N60H3  ,600,50,TO-247AC,0.45,1.05,1,,175,400,69.5212,2.0254,1.675694,0.000103,69.547,8.2764,1.23628,0.000096,0.52524,0.10986,0.72597,,,,0.213827,0.294664,0.462813,74.618,2.0862,1.608351,0.000096,57.7378,6.6722,1.197039,0,0.783672,0.08789,0.625599,,0,0,0.453861,0.331827,0.390635,1,
IKW75N60H3  ,600,50,TO-247AC,0.35,0.8,1,,175,400,97.3554,0.5643,1.334608,0.687506658,4.9472,12.0306,0.00087,1.106943513,0.53864,0.08374,0.71367,,,,0.400111,0.147602,0.538258,67.6196,0.3972,1.330055,0.631775123,44.42,8.1948,0.900535,0.313052543,0.723036,0.056671,0.711789,,0,0,0.625369,0.158754,0.470606,1,
SGW20N60HS ,600,20,TO-247AD,0.7,0,1,,150,400,135.4044,1.1091,1.95287,,17.3732,6.9009,1.10918,,0.0746,0.93812,0.42984,0,0,0,0,0,0,108.555,0.9435,1.831154,,22.7249,8.4479,1.108536,,0.46525,0.54597,0.496689,0,0,0,0,0,0,1,
SKW30N60HS ,600,30,TO-247AD,0.5,1.29,1,,150,400,144.8162,1.9094,1.76554,,99.6253,3.6243,1.42713,,0.0106,0.79387,0.40907,0,0,0,0.388149,0.21674,0.522609,112.9395,1.5056,1.678031,,110.3431,4.2741,1.404673,,0.485923,0.396399,0.5177,0,0,0,0.516177,0.249888,0.428144,1,
IKP15N60T  ,600,15,TO-220AB,1.15,1.9,2,,175,400,0,24.0629,0.000102,0.998140169,48.733,29.4974,0.78301,0.164808075,0.36454,0.26394,0.66391,,,,0.13607,0.429075,0.435311,0,16.037,0.000099,0.999565009,21.2946,21.5436,0.000104,0.775293383,0.430093,0.267456,0.503639,,0,0,0.323172,0.492338,0.345462,1,
IKP20N60T  ,600,20,TO-220AB,0.9,1.5,2,,175,400,7.162,8.0822,0.000096,1.196680841,43.318,15.7905,0.39241,0.625995641,0.42218,0.17615,0.73814,,,,0.217082,0.30364,0.508158,4.6367,8.4902,0.0001,1.042298032,18.5474,20.7229,0.000096,0.798219501,0.434143,0.191137,0.556663,,0,0,0.466226,0.311521,0.448123,1,
IKW20N60T  ,600,20,TO-247AD,0.9,1.5,1,,175,400,7.5815,7.8398,0.000101,1.174346172,42.2021,16.9808,0.40824,0.603639367,0.41191,0.17484,0.7399,,,,0.21301,0.295557,0.500605,4.7982,8.5743,0.000099,1.064674634,19.1238,19.6808,0.000099,0.836857204,0.423682,0.193462,0.550746,,,,0.498402,0.301643,0.435628,1,
IKW30N60T  ,600,30,TO-247AC,0.8,1.05,1,,175,400,89.4438,0.9192,1.436252,0.448251579,95.5642,17.7241,0.72962,0.369327637,0.3809,0.13226,0.73815,,0,0,0.203152,0.272858,0.469113,56.0652,0.5198,1.448013,0.48561761,64.4736,12.7512,0.708968,0.354299618,0.595587,0.118113,0.604026,,0,0,0.499908,0.297664,0.381923,1,
IKW50N60T  ,600,50,TO-247AD,0.45,0.8,1,,175,400,311.9754,2.5493,1.639574,,185.3507,18.2292,1.16478,,0.31968,0.11856,0.68122,0,0,0,0.197366,0.22459,0.467309,169.3831,2.6,1.514137,,148.4064,14.2748,1.158829,,0.457899,0.135235,0.50336,0,0,0,0.454281,0.240139,0.430984,1,
IKW75N60T  ,600,75,TO-247AD,0.35,0.6,1,,175,400,403.0689,2.6182,1.655475,,345.1632,7.7731,1.31103,,0.35304,0.07768,0.72449,0,0,0,0.204991,0.154933,0.486036,260.2889,1.7869,1.586318,,302.7006,6.7758,1.321913,,0.542951,0.075164,0.610414,0,0,0,0.380323,0.217208,0.420849,1,
SKW30N60 ,600,30,TO-247AD,0.5,1,1,,150,400,112.3818,6.854,1.38776,,217.1189,6.3863,1.35026,,0.27521,0.39796,0.47551,0,0,0,0.207638,0.275346,0.392453,75.4954,4.3759,1.435277,,153.9614,4.4909,1.383598,,0.540133,0.268317,0.493852,0,0,0,0.484812,0.264748,0.381979,1,
IKD10N60R  ,600,10,TO-252AA,1,2.6,45,,175,400,43.3007,11.0288,1.500274,,33.6815,124.7417,0.62704,,0.19042,0.3978,0.62669,0,0,0,0.011943,0.711113,0.365764,23.0241,8.0603,1.330808,,23.1641,79.2264,0.652631,,0.458301,0.343953,0.546117,0,0,0,0.31179,0.578157,0.380959,1,
IKD15N60RF ,600,15,TO-252AA,0.6,2,45,,175,400,83.8021,7.5264,1.41329,,37.3737,19.0369,0.98898,,0.37583,0.34309,0.60573,0,0,0,0.699154,0.329296,0.492105,48.8637,4.2082,1.413087,,29.5634,15.2441,0.993641,,0.568959,0.420961,0.525022,0,0,0,0.37952,0.479341,0.474384,1,
IKD04N60RF ,600,4,TO-252AA,2,4.5,45,,175,400,14.7535,28.6739,0.9189,,4.7864,26.9392,0.73516,,0.31387,0.90117,0.55917,0,0,0,0.442654,0.835629,0.454571,7.9455,15.5907,0.872068,,2.9025,18.15,0.715948,,0.648954,0.772417,0.503214,0,0,0,0.70902,0.757114,0.448099,1,
IKD10N60RF  ,600,10,TO-252AA,1,2.6,45,,175,400,23.3584,14.0684,1.334711,,29.6634,18.4232,0.96872,,0.3784,0.3893,0.65488,0,0,0,0.232276,0.631782,0.444121,13.9969,8.9857,1.28845,,21.0873,13.0916,1.009976,,0.560283,0.502115,0.522446,0,0,0,0.571068,0.540656,0.46978,1,
IKB06N60T ,600,6,TO-263AB,1.7,2.6,35,,175,400,23.5591,13.0276,1.2082,,27.2299,26.3845,0.95184,,0.3394,0.49951,0.59535,0,0,0,0.141598,0.722726,0.425566,16.6963,8.8031,1.180448,,16.8361,16.7125,1.015522,,0.279927,0.590726,0.405088,0,0,0,0.30396,0.719161,0.326924,1,
IKW50N60T ,600,50,TO-247AD,0.45,0.8,1,,175,400,200.9305,7.1545,1.32603,,121.1123,28.3863,1.06991,,0.38485,0.10816,0.6878,0,0,0,0.265877,0.162451,0.539017,145.5957,4.5925,1.417477,,92.6427,22.7254,1.028546,,0.580648,0.104454,0.542172,0,0,0,0.461782,0.301213,0.350075,1,
IKW75N60T ,600,75,TO-247AD,0.35,0.6,1,,175,400,375.9808,3.8441,1.45854,,210.9009,15.938,1.14597,,0.37145,0.07312,0.66959,0,0,0,0.223489,0.36564,0.300693,250.7416,2.7253,1.439706,,187.993,14.3245,1.162949,,0.582232,0.077332,0.576173,0,0,0,0.1901,0.207735,0.451779,1,
IXXH50N60B3D1  ,600,50,TO-247AD,0.25,0.9,1,,150,360,344.1926,1.7928,1.81204,,28.9978,189.2115,0.52927,,0.25916,0.20406,0.58953,0,0,0,0,0.680047,0.25474,145.4568,0.2069,2.188561,,339.0774,10.0761,0.993883,,0.535136,0.115625,0.627632,0,0,0,0,1.19313,0.212424,1,
IXGP50N60B4  ,600,50,TO-220AB,0.42,0,2,,125,400,33.1677,17.7407,1.11274,,0,45.6019,1.05532,,0.63938,0.0756,0.66033,0,0,0,0,0,0,33.8494,18.0144,1.131348,,0,12.1536,1.200486,,1,0.387312,0.230886,0,0,0,0,0,0,1,
IXGH50N60B4  ,600,50,TO-247AD,0.42,0,1,,125,400,34.4468,18.0458,1.04614,,0,45.4636,1.03618,,0.64693,0.07454,0.65833,0,0,0,0,0,0,33.7824,17.6207,1.094906,,0,11.5829,1.266436,,1,0.386593,0.224538,0,0,0,0,0,0,1,
IXGA50N60B4  ,600,50,TO-263AB,0.42,0,35,,125,400,32.8006,18.2446,1.11079,,0,43.8695,1.03788,,0.63508,0.07366,0.62521,0,0,0,0,0,0,32.7694,17.9461,1.114481,,0,12.364,1.242305,,1,0.394826,0.223322,0,0,0,0,0,0,1,
SGH40N60UFD  ,600,20,TO-247AD,0.77,1.7,1,,150,300,129.8746,0.2134,2.266049,0.04335689,62.7273,0.0997,2.05793,0.487821314,0.80583,0.09678,0.84427,,,,0.365768,0.206414,0.558852,21.8086,0.0061,2.719195,0.44636525,17.9146,0.0569,1.834833,0.56956904,0.894475,0.177517,0.664313,,,,0.693087,0.233498,0.494327,1,
RJH60D2DPP ,600,12,TO-220 FullPak,4.6,6.3,0.5,,150,300,17.4148,0.8231,1.656287,0.402038784,5.232,9.2446,0.0001,1.178698184,0.94617,0.10419,0.86787,,,,0.303297,0.363043,0.361886,4.2617,0.1815,1.339034,0.949806373,2.7734,4.5928,0.000102,1.204060786,1.199256,0.049093,0.956096,,0,0,0.559984,0.300354,0.352248,1,
STGW45HF60WD ,600,45,TO-247AC,0.5,1.5,1,,0,15,332.3128,0.2931,2.002905,,130.8935,1.1709,1.73621,,0,0.69186,0.24325,0,0,0,0,0.418834,0.411252,184.6905,0.1505,1.971356,,80.5145,0.7153,1.795108,,0,0.857609,0.234668,0,0,0,0.183616,0.549991,0.356461,1,
STGFL6NC60DI  ,600,6,TO-220 FullPak,5.6,7,0.5,,125,390,5.7084,10.5697,1.34938,,0,14.8316,1.02643,,0,1.41555,0.37853,0,0,0,0.033545,0.883775,0.310929,3.7212,6.3838,1.352445,,0,7.4795,1.108198,,0,1.626232,0.281676,0,0,0,0.358696,1.023962,0.28194,1,
STGPL6NC60DI  ,600,6,TO-220AB,2.2,4,2,,125,390,5.7754,11.1351,1.29128,,0,14.8743,1.04334,,0,1.43632,0.37933,0,0,0,0.034519,0.896145,0.291834,3.9264,6.4523,1.30988,,0,7.674,1.080916,,0,1.656347,0.280735,0,0,0,0.361929,1.037232,0.297389,1,
STGDL6NC60DI  ,600,6,TO-252AA,2.5,4.5,45,,125,390,5.6054,10.9177,1.33038,,0,13.9073,1.03025,,0,1.37715,0.37105,0,0,0,0.035067,0.878551,0.293493,3.7398,6.4582,1.329318,,0,7.6243,1.081727,,0,1.629089,0.293652,0,0,0,0.346235,1.064803,0.292236,1,
STGD6NC60HD  ,600,6,TO-252AA,2,4.5,45,,125,390,0,10.2241,1.149956,,9.6035,19.5609,1.33895,,1.31227,0.12625,1.01541,0,0,0,0.846361,0.222743,0.645146,0,5.5179,1.165544,,7.0147,14.0297,1.320782,,1.647009,0.098979,1.03442,0,0,0,1.13393,0.232475,0.682293,1,
STGBL6NC60DI  ,600,6,TO-263AB,2.2,4,35,,125,390,5.7683,10.6284,1.36588,,0,14.1362,1.0238,,0,1.35871,0.37625,0,0,0,0.036129,0.875349,0.297235,4.0102,6.2005,1.359671,,0,7.5212,1.079756,,0,1.663335,0.294954,0,0,0,0.353257,1.039333,0.291754,1,
STGP7NC60HD  ,600,7,TO-220AB,1.56,,2,,150,390,9,9.5598,0.000103,1.07107883,38.7578,5.5535,0.0001,0.952459407,0.8253,0.19491,0.74639,,,,0.256007,0.649741,0.430208,4.5187,3.6344,0.128184,1.174045529,5.4525,6.7027,0.000103,1.179346388,1.248741,0.271442,0.81181,,0,0,0.564282,0.774981,0.398678,1,
STGF8NC60KD  ,600,8,TO-220 FullPak,5.1,7,0.5,,125,390,0,23.7717,1.160864,,0,46.5752,1.17206,,1.08415,0.30651,0.86131,0,0,0,0.450034,0.487966,0.52655,0,14.9094,1.182417,,0,23.9447,1.165107,,1.517832,0.279663,0.834233,0,0,0,0.704946,0.548195,0.442017,1,
STGP8NC60KD  ,600,8,TO-220AB,1.9,4,2,,125,390,0,23.1608,1.197535,,0,45.4578,1.11125,,1.08859,0.29611,0.80868,0,0,0,0.426639,0.501263,0.515356,0,15.1332,1.253126,,0,23.5833,1.097415,,1.454456,0.297988,0.810982,0,0,0,0.662654,0.53722,0.469526,1,
STGD8NC60KD  ,600,8,TO-252AA,2,4.5,45,,125,390,0,23.994,1.178599,,0,46.4276,1.15512,,1.09686,0.31066,0.81668,0,0,0,0.419557,0.500998,0.517705,0,14.2106,1.214091,,0,23.3026,1.186421,,1.477133,0.280821,0.831329,0,0,0,0.67156,0.546659,0.464288,1,
STGB8NC60KD  ,600,8,TO-263AB,1.9,4,35,,125,390,0,23.8853,1.208888,,0,47.5232,1.14461,,1.0239,0.29659,0.83699,0,0,0,0.441837,0.504427,0.526318,0,14.8892,1.235756,,0,24.5616,1.135364,,1.462476,0.296064,0.778647,0,0,0,0.690261,0.528134,0.466253,1,
STGF10NC60KD  ,600,10,TO-220 FullPak,5,7,0.5,,125,390,5.8085,6.5079,0.000097,1.218495397,12.0219,13.485,0.0001,1.188874075,0.87498,0.23721,0.80985,,0,0,0.267471,0.668894,0.434688,4.2481,3.3845,0.13253,1.131046492,5.5008,6.673,0.000097,1.196796651,1.307021,0.272865,0.770606,,0,0.769829,0.538312,0.762832,0.40124,1,
STGP10NC60KD  ,600,10,TO-220AB,1.9,4,2,,125,390,5.9963,6.6133,0.000103,1.176246062,11.539,13.7744,0.0001,1.18632411,0.86751,0.24217,0.81796,,0,0,0.257675,0.680337,0.449566,4.4132,3.3677,0.13271,1.125380764,5.6462,6.3112,0.000099,1.212822647,1.242483,0.267792,0.806307,,0,0.761048,0.56356,0.748058,0.386924,1,
