Model Name,V_rated,Irated,Package,RthJC IGBT,RthJC Diode,RthCS,Blank,Tjrated,Vref,EonTjmax,hTjmax,kTjmax,xTjmax,EoffTjmax,mTjmax,nTjmax,yTjmax,VtTjmax,aTjmax,bTjmax,Er0Tjmax,d1Tjmax,d2Tjmax,VtdTjmax,adTjmax,bdTjmax,Eon,h,k,x,Eoff,m,n,y,Vt,a,b,Er0,d1,d2,Vtd,ad,bd,Include Model?,
Models_Random,,,,,,,,,,IGBT Parameters at Tjmax,,,,,,,,,,,Diode Parameters at Tjmax,,,,,,IGBT Parameters at 25°C,,,,,,,,,,,Diode Parameters at 25°C,Diode Parameters at 25°C,,,,,,
IRG4PSH71KD,1200,42,TO-274AA,0.36,0.69,1,,150,800,,82.8913,1.19734,,,41.83093,1.39811,,1.27505,0.09333,0.69464,,,,0.536934,0.209056,0.598277,,81.0243,1.130435,,,7.7618,1.618527,,1.744746,0.112453,0.595147,,,,0.744791,0.183271,0.642058,1,
IRG4PSH71UD,1200,50,TO-274AA,0.36,0.69,1,,150,960,,19.7239,1.38663,,,31.24734,1.53023,,1.06288,0.08449,0.7041,,,,0.524353,0.210828,0.579426,,24.3749,1.311053,,,49.57,1.226459,,1.324854,0.112435,0.535833,,,,0.734529,0.175498,0.630543,1,
IRGR2B60KD,600,2,TO-252AA,3.6,7.7,45,,150,400,15.2056,49.7904,1.06745,,15.1592,27.1446,1.03439,,0.46736,1.21217,0.58165,,14.142,0.5968092,0.517263,0.413333,0.475288,9.7572,38.4355,0.788136,,9.8977,14.4825,1.1116,,0.636063,0.812292,0.619862,,4.476051,0.633871,0.698892,0.439626,0.369702,1,
IRGR3B60KD2,600,3,TO-252AA,2.4,8.8,45,,150,400,,51.819,0.81607,,,27.09571,0.86115,,0.40484,0.99648,0.51197,,,,0.47376,0.660608,0.4147,,35.8446,0.902115,,,13.8953,1.023465,,0.601212,0.673711,0.544317,,,,0.728948,0.508363,0.373015,1,
IRGS4B60KD1,600,4,TO-263AB,2.4,6.1,35,,150,400,10.3985,18.0708,1.40872,,3.3513,18.2799,1.11589,,0.53325,0.86111,0.54617,,27.7619,0.7123592,0.496968,0.30861,0.567739,4.0997,13.393,1.215221,,2.0777,10.2817,1.175336,,0.665812,0.580635,0.598973,,13.131055,0.702972,0.672742,0.345309,0.488088,1,
IRGS6B60KD,600,6,TO-263AB,1.4,4.4,35,,150,400,,51.4874,0.85115,,,45.21705,0.87628,,0.40048,0.77119,0.54315,,,,0.476952,0.349096,0.425297,,33.6849,0.938689,,,21.29,1.015852,,0.595523,0.464651,0.587107,,,,0.711631,0.248428,0.452234,1,
IRGIB6B60KD,600,6,TO-220 FullPak,3.9,4.4,0.5,,175,400,,54.4433,0.83724,,,52.69403,0.84993,,0.36624,0.7999,0.55026,,,,0.441904,0.378633,0.420572,,35.344,0.919559,,,21.1105,1.002528,,0.62845,0.477146,0.600848,,,,0.690203,0.257469,0.423691,1,
IRGB6B60KD,600,6,TO-220AB,1.4,4.4,2,,150,400,,51.5345,0.85244,,,45.70283,0.86181,,0.40115,0.75066,0.56437,,,,0.481814,0.365468,0.42332,,35.4563,0.891626,,,21.4845,0.948103,,0.629831,0.46064,0.573192,,,,0.684897,0.242219,0.450689,1,
IRGS6B60K,600,6,TO-263AB,1.4,,35,,150,400,,50.0888,0.81977,,,48.08634,0.85997,,0.40542,0.75849,0.54571,,,,,,,,35.8299,0.960099,,,22.2478,1.025579,,0.632293,0.447671,0.586357,,,,,,,1,
IRGIB7B60KD,600,7,TO-220 FullPak,3.8,4.4,0.5,,175,400,,55.737,0.84867,,,49.4192,0.89692,,0.4017,0.62335,0.54367,,,,0.425515,0.372091,0.413778,,35.6676,0.917628,,,24.7377,1.026287,,0.631259,0.37314,0.571974,,,,0.685037,0.259993,0.430841,1,
IRGS8B60K,600,8,TO-263AB,0.9,,35,,175,400,,57.6698,0.83147,,,49.29546,0.83309,,0.39815,0.57987,0.5448,,,,,,,,37.1374,0.906176,,,24.4665,1.003024,,0.621188,0.376201,0.611551,,,,,,,1,
IRGB8B60K,600,19,TO-220AB,0.9,,2,,175,400,,55.65,0.82626,,,49.68707,0.84196,,0.3992,0.59694,0.55625,,,,,,,,37.0322,0.917164,,,25.5284,0.981673,,0.608718,0.356732,0.570964,,,,,,,1,
IRGS10B60KD,600,10,TO-263AB,0.8,3.4,35,,150,400,59.1743,25.4341,1.14279,,48.0915,17.48097,1.28495,,0.40136,0.46462,0.54292,,74.81518,0.50650679,0.487534,0.286022,0.453101,41.2522,13.7948,1.354262,,30.0153,6.9002,1.434201,,0.604038,0.283068,0.581159,,37.100867,0.484457,0.729643,0.226448,0.44746,1,
IRGB10B60KD,600,10,TO-220AB,0.8,3.4,2,,150,400,61.4837,25.2169,1.18493,,49.2722,16.70874,1.3024,,0.40683,0.43627,0.54113,,77.30286,0.49070949,0.469355,0.276515,0.432201,41.3127,14.2759,1.33863,,29.9965,7.1114,1.439587,,0.633133,0.282433,0.610031,,39.183711,0.4972,0.716081,0.215874,0.452876,1,
IRGIB10B60KD1,600,10,TO-220 FullPak,3.4,3.66,0.5,,175,400,,72.4851,0.78477,,,55.0107,0.83285,,0.376,0.51458,0.54912,,82.4893,0.400214,0.484758,0.296814,0.586712,,42.3807,0.891257,,,25.527,0.962178,,0.588014,0.301289,0.577035,,22.87196,0.383261,0.695609,0.566789,0.348888,1,
IRGIB15B60KD1,600,15,TO-220 FullPak,2.9,2,0.5,,175,400,,48.4725,0.82075,,,32.8285,0.82675,,0.40469,0.19399,0.51444,,79.4975,0.4485589,0.325205,0.303369,0.463244,,26.1225,0.939657,,,15.3509,1.006498,,0.67237,0.112532,0.55734,,29.396206,0.467241,0.60289,0.554065,0.358255,1,
IRGS15B60KD,600,15,TO-263AB,0.6,2.1,35,,150,400,80.1056,16.6576,1.40776,,78.6123,18.57839,1.14416,,0.41804,0.37287,0.5609,,80.33847,0.70258693,0.471442,0.183357,0.478308,51.9916,10.6978,1.416842,,34.0772,9.8343,1.230542,,0.594816,0.248521,0.61283,,38.966872,0.716209,0.708779,0.147696,0.46019,1,
IRGB15B60KD,600,15,TO-220AB,0.6,2.1,2,,150,400,77.6165,16.243,1.39863,,79.8883,18.11603,1.2013,,0.41262,0.36346,0.55279,,81.36511,0.73567822,0.502613,0.19176,0.469568,51.483,10.8765,1.376445,,33.9081,9.4604,1.27168,,0.584677,0.230889,0.592897,,39.677267,0.71396,0.698778,0.143578,0.447189,1,
IRGB20B60PD1,600,20,TO-220AB,0.58,5,2,,150,390,,17.6391,1.0817,,,31.67076,0.6015,,0.53434,0.40595,0.57742,,,,0.47826,0.450768,0.496714,,11.1632,1.067891,,,10.0798,0.867064,,0.780891,0.350976,0.509105,,,,0.728704,0.403098,0.407561,1,
IRGP20B60PD,600,20,TO-247AC,0.58,2.5,1,,150,390,,17.97,1.08088,,,33.02336,0.60673,,0.48845,0.4541,0.64738,,,,0.440824,0.182414,0.551065,,10.9006,0.99833,,,9.9448,0.828865,,0.602528,0.270135,0.656642,,,,0.701201,0.171725,0.48958,1,
IRGP30B60KD,600,30,TO-247AC,0.41,1.32,1,,150,400,100.9473,15.7888,1.3131,,207.5176,14.6408,1.13438,,0.42995,0.25367,0.61194,,87.2878,0.6663349,0.44527,0.145502,0.504854,72.7379,8.597,1.427404,,71.5214,9.4606,1.108255,,0.647016,0.167825,0.594794,,6.69106,0.674703,0.670163,0.143756,0.466793,1,
IRGP35B60PD,600,35,TO-247AC,0.41,1.7,1,,150,390,,22.1875,1.10563,,,44.46453,0.57808,,0.46668,0.29458,0.60955,,,,0.563208,0.142856,0.550209,,14.1166,1.073322,,,12.413,0.839805,,0.632368,0.177053,0.59675,,,,0.825017,0.12804,0.509984,1,
IRGP50B60PD1,600,50,TO-247AC,0.34,1.7,1,,150,390,,16.3001,1.04099,,,52.83843,0.56763,,0.45667,0.25742,0.62822,,,,0.5631,0.146107,0.575048,,9.1382,1.057804,,,13.3524,0.857878,,0.612218,0.162876,0.592474,,,,0.817765,0.127389,0.499832,1,
